t,Re_p1,Im_p1,Re_p2,Im_p2,g_t
6.796875000000000000e+00,1.070641354954261250e-02,2.013456160702192799e-02,-1.259163213031507834e-02,1.596409665658950205e-02,0.000000000000000000e+00
6.812500000000000000e+00,8.763876093095123929e-03,2.180826957216828316e-02,-1.458557764299150787e-02,1.849389447802927272e-02,0.000000000000000000e+00
6.828125000000000000e+00,1.011327151363719014e-02,2.213846145932317488e-02,-1.919496126823554485e-02,1.788592913107334842e-02,0.000000000000000000e+00
6.843750000000000000e+00,1.302926866643257763e-02,2.017716731974201344e-02,-2.008870492147770553e-02,1.787719450725562195e-02,0.000000000000000000e+00
6.859375000000000000e+00,1.411953575201830083e-02,1.690812485237930610e-02,-2.138009501323959172e-02,1.073516288044708104e-02,0.000000000000000000e+00
6.875000000000000000e+00,1.859848670684615540e-02,2.364954715111445421e-02,-2.349491103387165575e-02,1.623314604275795728e-02,0.000000000000000000e+00
6.890625000000000000e+00,1.653660605170340081e-02,2.115850702462103092e-02,-1.641462995823353074e-02,1.407486348239012607e-02,0.000000000000000000e+00
6.906250000000000000e+00,8.279467183250227916e-03,1.478157421204668621e-02,-2.021374254754968250e-02,5.619429543318482656e-03,0.000000000000000000e+00
6.921875000000000000e+00,3.327901743789432685e-03,1.429506044863408480e-02,-2.320994201079327676e-02,4.003295444795335577e-03,0.000000000000000000e+00
6.937500000000000000e+00,3.832998555023591977e-03,1.145846026823937533e-02,-2.285287347134304717e-02,6.389256268901675508e-03,0.000000000000000000e+00
6.953125000000000000e+00,5.850273848575555545e-04,1.311080498255529254e-02,-1.967916461002947731e-02,5.984503475534529680e-03,0.000000000000000000e+00
6.968750000000000000e+00,-1.965331810544925732e-03,1.363925293849390513e-02,-1.908777706642804037e-02,4.385639765025393065e-03,0.000000000000000000e+00
6.984375000000000000e+00,2.178980761801912417e-03,1.167613636932235237e-02,-2.136650343367314797e-02,6.160416329173955610e-03,0.000000000000000000e+00
7.000000000000000000e+00,3.421120396407810373e-03,1.077549859931114032e-02,-2.215569188752675514e-02,6.104164290969101708e-03,0.000000000000000000e+00
7.015625000000000000e+00,6.692325940721384307e-03,1.435422134834759070e-02,-1.847340715263247682e-02,7.607187535163604901e-03,0.000000000000000000e+00
7.031250000000000000e+00,5.565470603143293435e-03,1.977428927571353579e-02,-2.159829000087199954e-02,3.375973726039542717e-03,0.000000000000000000e+00
7.046875000000000000e+00,4.634370546136093449e-03,1.610143782502982540e-02,-2.330796255277181248e-02,8.813443767090541059e-03,0.000000000000000000e+00
7.062500000000000000e+00,5.917938277928341123e-03,1.174827181433660273e-02,-2.012153984792633063e-02,1.141750053549013717e-02,0.000000000000000000e+00
7.078125000000000000e+00,-2.166229056421299475e-04,1.899308110419563669e-02,-2.089800676449089095e-02,9.238949731085877373e-03,0.000000000000000000e+00
7.093750000000000000e+00,2.863725946874414938e-03,2.405778143636032665e-02,-2.107422007312205470e-02,9.260525226705012755e-03,0.000000000000000000e+00
7.109375000000000000e+00,2.909244715332346375e-03,2.721875332395807048e-02,-1.849581956520761350e-02,1.307904649786873277e-02,0.000000000000000000e+00
7.125000000000000000e+00,3.010195262501658229e-03,2.521480952982995544e-02,-1.451851810381045091e-02,8.762818901823159895e-03,0.000000000000000000e+00
7.140625000000000000e+00,1.890997106288636260e-03,2.835627902744081857e-02,-1.841324382808646326e-02,1.097713484918697371e-02,0.000000000000000000e+00
7.156250000000000000e+00,8.742902315275372094e-03,3.141372954904544240e-02,-1.951494229294739938e-02,1.252630217337729647e-02,0.000000000000000000e+00
7.171875000000000000e+00,1.114941187672880731e-02,2.976220335322704233e-02,-2.130344513003170834e-02,1.434843186700146545e-02,0.000000000000000000e+00
7.187500000000000000e+00,1.476887733957246013e-02,2.935572377481528161e-02,-2.145740969941037704e-02,1.370020659792838685e-02,0.000000000000000000e+00
7.203125000000000000e+00,1.494397191184359923e-02,2.676352868135325677e-02,-2.354526573624660113e-02,1.387931366024420556e-02,0.000000000000000000e+00
7.218750000000000000e+00,1.682712374363206156e-02,2.721549568184629050e-02,-2.036762476367066227e-02,1.318192148206444488e-02,0.000000000000000000e+00
7.234375000000000000e+00,1.623438095105918591e-02,2.535238435772276325e-02,-2.138119665552899729e-02,1.257569808036837836e-02,0.000000000000000000e+00
7.250000000000000000e+00,1.713770290748092145e-02,2.791640387405594850e-02,-2.378362387441144282e-02,1.052261289244997219e-02,0.000000000000000000e+00
7.265625000000000000e+00,1.627249409869724328e-02,2.246418967451381879e-02,-2.552575321929853244e-02,1.113778555622993091e-02,0.000000000000000000e+00
