t_z,z_t_puf1,z_t_puf2
2.03125e-10,2.0647195467549093e-05,2.9769475708926995e-05
2.046875e-10,2.0447344438321624e-05,2.8847711453032582e-05
2.0625e-10,2.073775017192291e-05,2.7443039582773895e-05
2.078125e-10,2.0420477198491708e-05,2.7241662937929554e-05
2.0937500000000001e-10,1.963368316900491e-05,2.6170581167775588e-05
2.109375e-10,2.0159663597314632e-05,2.5181119281490204e-05
2.1250000000000002e-10,2.007083181135423e-05,2.3594160837305935e-05
2.140625e-10,1.9586498285860203e-05,2.277373005156565e-05
2.1562500000000002e-10,2.016145724449945e-05,2.1879065601621586e-05
2.171875e-10,1.8921830687680308e-05,2.1569534115803238e-05
2.1875000000000002e-10,1.804574687809083e-05,1.9360773834877905e-05
2.203125e-10,1.8140841451488896e-05,1.916199672248513e-05
2.21875e-10,1.8429978196331766e-05,1.900081086544354e-05
2.234375e-10,1.7525913590388188e-05,1.8313586723190044e-05
2.25e-10,1.6571542925264955e-05,1.7751667697760488e-05
2.265625e-10,1.5081730177426584e-05,1.706938728194582e-05
2.28125e-10,1.4496017031569812e-05,1.7091551418932907e-05
2.2968750000000001e-10,1.4173888432246966e-05,1.6792164950710173e-05
2.3125e-10,1.338976052958467e-05,1.658973408670276e-05
2.3281250000000002e-10,1.246639101863341e-05,1.6286325800736185e-05
2.3437500000000003e-10,1.220183204098595e-05,1.5803258750694344e-05
2.359375e-10,1.115400773665903e-05,1.6646050099754406e-05
2.375e-10,1.067902077789887e-05,1.6473693866989605e-05
2.390625e-10,1.0015421361237009e-05,1.5460451929097976e-05
2.40625e-10,1.0306205101198685e-05,1.480893750470802e-05
2.421875e-10,1.0846192477942546e-05,1.423864567194277e-05
2.4375e-10,1.0798430031276817e-05,1.412425685440332e-05
2.453125e-10,1.2318810626342394e-05,1.3932285620797067e-05
2.46875e-10,1.1696441362740856e-05,1.445556276165207e-05
2.484375e-10,1.1721763544919826e-05,1.4283814906730654e-05
2.5e-10,1.2015225725979642e-05,1.3681867004763901e-05
2.5156250000000003e-10,1.224338104785077e-05,1.3694468781234742e-05
2.53125e-10,1.2755350847129961e-05,1.4078253341277049e-05
2.546875e-10,1.1955262918774845e-05,1.4270694451078635e-05
2.5625e-10,1.2279428978564661e-05,1.3938936703147642e-05
2.5781250000000003e-10,1.2474243862866938e-05,1.3739672179386337e-05
2.59375e-10,1.311290063831598e-05,1.3728212521539156e-05
2.609375e-10,1.3850377838135975e-05,1.4067121346290703e-05
2.625e-10,1.3997604202327957e-05,1.3197295619569227e-05
2.640625e-10,1.4341470347094162e-05,1.274204168682784e-05
2.65625e-10,1.5494476242465936e-05,1.303055719664634e-05
